,Oryzopsis bloomeri (Bol.) Ricker
 ,Stipa bloomeri Bol.
 ,Stiporyzopsis bloomeri (Bol.) B.L. Johnson
 ,Apocynum jonesii Woodson
,Apocynum medium Greene
 ,Apocynum medium Greene var. floribundum (Greene) Woodson
 ,Apocynum medium Greene var. leuconeuron (Greene) Woodson
 ,Apocynum medium Greene var. lividum (Greene) Woodson
 ,Apocynum medium Greene var. sarniense (Greene) Woodson
 ,Apocynum medium Greene var. vestitum (Greene) Woodson
 ,Apocynum milleri Britton
 ,×Elysitanion hansenii (Scribn.) Bowden
 ,Sitanion anomalum J.G. Sm.
,Sitanion hansenii (Scribn.) J.G. Sm.
 ,Agropyron saundersii (Vasey) Hitchc.
 ,×Agrositanion saundersii (Vasey) Bowden
 ,Elymus saundersii Vasey var. californicus Hoover
,Equisetum hyemale L. var. elatum (Engelm.) Morton
 ,Equisetum hyemale L. var. intermedium A.A. Eaton
 ,Equisetum intermedium (A.A. Eaton) Rydb.
 ,"Platanthera ×folsomii P.M. Br., nom. inval."
,"Platanthera ×kelleyi P.M. Br., nom. inval."
 ,Typha ×provincialis A. Camus
 ,Malvastrum abbottii Eastw.
 ,Allium fimbriatum S. Watson var. abramsii Ownbey & Aase
,Lupinus albicaulis Douglas var. abramsii (C.P. Sm.) Hoover
 ,Lupinus albifrons Benth. var. abramsii (C.P. Sm.) Hoover
,Eriogonum abramsii (McGregor) S. Stokes
,Oxytheca abramsii McGregor
 ,Oxytheca parishii Parry ssp. abramsii (McGregor) Munz
,Euphorbia abramsiana L.C. Wheeler
,Navarretia abramsii Elmer
 ,Eriogonum carneum (J.T. Howell) Reveal
Aaron's beard,Eriogonum glandulosum (Nutt.) Nutt. ex Benth. var. carneum J.T. Howell
Abbot's bushmallow,Oxytheca glandulosa Nutt.
 ,Encelia frutescens (A. Gray) A. Gray var. actonii (Elmer) S.F. Blake
Abert's creeping zinnia,Encelia virginensis A. Nelson ssp. actonii (Elmer) D.D. Keck
aboriginal saltbush,Encelia virginensis A. Nelson var. actonii (Elmer) B.L. Turner
Abrams' allium,Arctostaphylos glandulosa Eastw. var. adamsii Munz
 ,Navarretia nigelliformis Greene var. radians J.T. Howell
Abrams' liveforever,Allocarya acanthocarpa Piper
Abrams' liveforever,Mentzelia longiloba J. Darl.
Abrams' lupine,Mentzelia multiflora (Nutt.) A. Gray ssp. longiloba (J. Darl.) Felger
 ,Mentzelia pumila Nutt. ex Torr. & A. Gray var. multiflora (Nutt.) Urb. & Gilg
 ,Nuttallia multiflora (Nutt.) Greene
Abrams' oxytheca,Cheiranthus cheiri L.
 ,"Lycium ferrocissimum Miers, orth. var."
 ,Chasmanthe aethiopica auct. non (L.) N.E. Br.
 ,Arctotis grandis Thunb.
Abrams' sandmat,Arctotis stoechadifolia P.J. Bergius var. grandis (Thunb.) Less.
 ,Pennisetum quartinianum A. Rich.
Abrams' woollystar,Eleusine africana Kennedy & O'Byrne
 ,Eleusine indica (L.) Gaertn. ssp. africana (Kennedy & O'Byrne) S.M. Phillips
abruptbeak sedge,Gomphocarpus fruticous (L.) W.T. Aiton
acacia,Olea africana Mill.
acacia,Olea chrysophylla Lam.
acacia,Olea europaea L. ssp. africana (Mill.) P. Green
acaena,Olea ferruginea Royle
acanthus,Olea verrucosa (Willd.) Link
achlys,"Bauhinia punctata Bolle, non Jacq."
achyronychia,Cassia didymobotrya Fresen.
acorn buckwheat,Chamaesenna didymobotrya (Fresen.) Small
 ,Lupinus concinnus J. Agardh var. agardhianus (A. Heller) C.P. Sm.
 ,"Lupinus gracilis J. Agardh, non Nutt."
 ,Mariscus ligularis (L.) Urb.
Acton's brittlebush,Cirsium quercetorum (A. Gray) Jeps. var. mendocinum Petr.
 ,Cirsium quercetorum (A. Gray) Jeps. var. quercetorum
 ,Cirsium quercetorum (A. Gray) Jeps. var. walkerianum (Petr.) Jeps.
 ,Cirsium quercetorum (A. Gray) Jeps. var. xerolepis Petr.
Adams' manzanita,Cirsium walkerianum Petr.
 ,Arctostaphylos andersonii A. Gray var. pallida (Eastw.) J.E. Adams ex McMinn
adder's-mouth orchid,Chamaecyparis nootkatensis (D. Don) Spach
adderstongue,Cupressus nootkatensis D. Don
adobe lily,Xanthocyparis nootkatensis (D.Don) Farjon & D.K. Harder
adobe navarretia,Bromelica subulata (Griseb.) Farw.
adobe navarretia,Lathyrus alefeldii T.G. White
adobe navarretia,Lathyrus laetiflorus Greene ssp. alefeldii (T.G. White) C.L. Hitchc.
 ,Lathyrus laetiflorus Greene var. alefeldii (T.G. White) Jeps.
adobe popcornflower,Lathyrus strictus Nutt.
 ,Lathyrus vestitus Nutt. var. alefeldii (T.G. White) Isely
adobe snakeroot,Adiantum pedatum L. ssp. aleuticum (Rupr.) Calder & Roy L. Taylor
adobe yampah,Adiantum pedatum L. ssp. calderi Cody
Adonis blazingstar,Adiantum pedatum L. ssp. subpumilum (W.H. Wagner) Lellinger
Adonis blazingstar,Adiantum pedatum L. var. aleuticum Rupr.
 ,Adiantum pedatum L. var. subpumilum W.H. Wagner
 ,Viola langsdorfii Fisch. ex Ging.
Adonis blazingstar,Viola simulata M.S. Baker
 ,Viola superba M.S. Baker
 ,Medicago media Pers.
Aegean wallflower,Medicago sativa L. ssp. varia (Martyn) Arcang.
 ,Medicago ×varia Martyn
aeonium,Cuscuta approximata Bab. var. urceolata (Kunze) Yunck.
African asparagus fern,Cuscuta epithymum (L.) L. ssp. approximata (Bab.) Rouy
African boxthorn,Cuscuta planiflora Ten.
 ,Hedera canariensis Willd.
African bristlegrass,Helianthus tephrodes A. Gray
African cornflag,Cyrtorhyncha cymbalaria (Pursh) Britton
African cornflag,Cyrtorhyncha cymbalaria (Pursh) Britton ssp. alpina (Hook.) Á. Löve & D. Löve
 ,Halerpestes cymbalaria (Pursh) Greene
African cornlily,Halerpestes cymbalaria (Pursh) Greene ssp. saximontana (Fernald) Moldenke
African daisy,Ranunculus cymbalaria Pursh ssp. saximontanus (Fernald) Thorne
 ,Ranunculus cymbalaria Pursh var. alpinus Hook.
 ,Ranunculus cymbalaria Pursh var. saximontanus Fernald
African dogstooth grass,Ranunculus cymbalaria Pursh var. typicus L.D. Benson
African feathergrass,Zeltnera trichantha (Griseb.) G. Mans.
 ,Sporobolus hookerianus P.M. Peterson & Saarela
African finger millet,Draba douglasii A. Gray
 ,Draba douglasii A. Gray var. crockeri (Lemmon) C.L. Hitchc.
 ,Leptotaenia anomala J.M. Coult. & Rose
African milkweed,Leptotaenia humilis J.M. Coult. & Rose
 ,Lomatium humile (J.M. Coult. & Rose) Hoover ex Mathias & Constance
African mustard,Haplopappus acradenius (Greene) S.F. Blake
African olive,Haplopappus acradenius (Greene) S.F. Blake ssp. bracteosus (Greene) H.M. Hall
 ,Isocoma bracteosa Greene
 ,Haplopappus acradenius (Greene) S.F. Blake ssp. eremophilus (Greene) H.M. Hall
 ,Isocoma acradenia (Greene) Greene ssp. eremophila (Greene) R.M. Beauch.
 ,Isocoma eremophila Greene
 ,Baeria platycarpha (A. Gray) A. Gray
African plume,Sida hederacea (Douglas ex Hook.) Torr. ex A. Gray
 ,Sida leprosa (Ortega) K. Schum.
African senna,Sida leprosa (Ortega) K. Schum. var. hederacea (Douglas ex Hook.) K. Schum.
 ,Aster hydrophilus Greene ex Wooton & Standl.
 ,Aster pauciflorus Nutt.
African sumac,Lepidium acutidens (A. Gray) Howell
African tamarisk,Agrostis airoides Torr.
African-lily,Frankenia grandifolia Cham. & Schltdl.
African-queen,Frankenia grandifolia Cham. & Schltdl. var. campestris A. Gray
agapanthus,Ocimum salinum Molina
Agardh lupine,Phaca salsula Pall.
 ,Swainsona salsula (Pall.) Taubert
 ,Elymus simplex Scribn. & T.A. Williams
agave,Elymus simplex Scribn. & T.A. Williams var. luxurians Scribn. & T.A. Williams
agoseris,Elymus triticoides Buckley ssp. simplex (Scribn. & T.A. Williams) Á. Löve
agoseris,Elymus triticoides Buckley var. simplex (Scribn. & T.A. Williams) Hitchc.
agrimony,Leymus simplex (Scribn. & T.A. Williams) D.R. Dewey var. luxurians (Scribn. & T.A. Williams) Beetle
agropogon,Crockeria chrysantha Greene ex A. Gray
Ahart's cluster rose,Rubus allegheniensis Porter var. plausus L.H. Bailey
Ahart's dwarf rush,Rubus allegheniensis Porter var. populifolius Fernald
Ahart's nailwort,Rubus attractus L.H. Bailey
ailanthus,Rubus auroralis L.H. Bailey
Alabama swamp flatsedge,Rubus fissidens L.H. Bailey
 ,Rubus longissimus L.H. Bailey
Alameda County thistle,Rubus nigrobaccus L.H. Bailey
 ,Rubus nuperus L.H. Bailey
 ,Rubus pennus L.H. Bailey
 ,Rubus rappii L.H. Bailey
 ,Rubus separ L.H. Bailey
 ,Mimulus minthodes Greene
Alameda manzanita,Mimulus pallidus Salisb.
 ,Mimulus ringens L. var. congesta Farw.
Alaska brome,Mimulus ringens L. var. minthodes (Greene) A.L. Grant
Alaska cedar,Linum clevelandii Greene
 ,Linum clevelandii Greene var. petrophilum Jeps.
 ,Achyranthes philoxeroides (Mart.) Standl.
 ,Heuchera cylindrica Douglas ex Hook. var. ovalifolia (Nutt. ex Torr. & A. Gray) Wheelock
Alaska draba,Heuchera ovalifolia Nutt. ex Torr. & A. Gray
